Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"DELTA SERVICE LOCATION (DSL)","318743473","","77.32Z","Administrative and support service activities","Administrative and Support","PARC ACTIVITE DES TAILLIS RUE DE SAVOIE 69960 CORBAS","69960","69","84","21","18","2024",56250796
"RENAULT TRUCKS (RT)","954506077","","29.10Z","Manufacturing","Manufacturing: Transport Equipment","99 ROUTE DE LYON 69800 SAINT-PRIEST","69800","69","84","51","57","2024",6420400000
"CIRIL GROUP","305163040","","62.02A","Information and communication","Information Technology and Services","49 AVENUE ALBERT EINSTEIN 69100 VILLEURBANNE","69100","69","84","32","18","2024",64320881
"RHONE-ALPES DISTRIBUTION (GRAND LYON BOISSONS)","789694262","","46.34Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","15 RUE DE GENEVE 69800 SAINT-PRIEST","69800","69","84","21","18","2024",92329883
"IN EXTENSO AUVERGNE RHONE ALPES","434713871","","69.20Z","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","53 AVENUE ALBERT EINSTEIN 69100 VILLEURBANNE","69100","69","84","21","20","2024",22474143
"IVECO FRANCE","419683818","","45.19Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","PORTE E 1 RUE DES COMBATS DU 24 AOUT 44 69200 VENISSIEUX","69200","69","84","32","29","2024",2397994300
"LFB FRANCE","309528115","","28.25Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","Z.I. LES MEURIERES 6 RUE DES ALBATROS 69780 MIONS","69780","69","84","22","30","2024",142893092
"PCAS (PCAS)","622019503","","20.14Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","21 ECULLY PARC, 21 CHEMIN DE LA SAUVEGARDE 69130 ECULLY","69130","69","84","12","12","2022",226356000
"SARPI REMEDIATION FRANCE","379578883","","39.00Z","Water supply; sewerage, waste management and remediation activities","Water, Waste and Remediation","17 RUE DU PERIGORD 69330 MEYZIEU","69330","69","84","22","23","2024",48477715
"T S E FRANCE","390162246","","49.41A","Transportation and storage","Transportation and Storage","64 AVENUE DES FRERES MONTGOLFIER 69740 GENAS","69740","69","84","12","21","2024",37097107
"FLORETTE FRANCE","451353734","","10.39A","Manufacturing","Manufacturing: Food, Beverages and Tobacco","CITE PARK BATIMENT F 23 AVENUE DE POUMEYROL 69300 CALUIRE-ET-CUIRE","69300","69","84","22","8","2024",338657435
"ALDES (ALDES)","956506828","","28.25Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","20 BOULEVARD IRENE JOLIOT CURIE 69200 VENISSIEUX","69200","69","84","32","51","2024",379494000
"FRANCE FRAIS RHONE ALPES (BROC SERVICE FRAIS)","957521750","","46.33Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","ZI DES ISLES RUE LOUISE MICHEL 69320 FEYZIN","69320","69","84","31","17","2024",145314542
"KEM ONE","538695040","","20.16Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","IMMEUBLE LE QUADRILLE 19 RUE JACQUELINE AURIOL 69008 LYON","69008","69","84","22","12","2024",1024850008
"XPO VRAC FRANCE (XPO VRAC FR)","798867297","","49.41A","Transportation and storage","Transportation and Storage","192 AVENUE THIERS 69006 LYON","69006","69","84","NN","13","2024",86087729
"IMMOBILIERE RHONE ALPES SA D'HLM","398115808","","68.20A","Real estate activities","Real Estate","9 RUE ANNA MARLY 69007 LYON","69007","69","84","21","16","2017",108728292
"SOLUSTIL","398142299","","25.50B","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","109 RUE DE L'ABBAYE 69400 ARNAS","69400","69","84","22","15","2024",66349414
"SPECIALTY OPERATIONS FRANCE","922031505","","20.14Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","IMMEUBLE SILEX 2 SOLVAY 9 RUE DES CUIRASSIERS 69003 LYON","69003","69","84","32","8","2024",554449444
"ALPTIS ASSURANCES","335244489","","66.22Z","Financial and insurance activities","Financial and Insurance","25 COURS ALBERT THOMAS 69003 LYON","69003","69","84","32","22","2024",152391342
"ATLANTIC CLIMATISATION ET TRAITEMENT D AIR INDUSTRIE (ACTA INDUSTRIE)","421370289","","46.69B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","Z.I. 13 BOULEVARD MONGE 69330 MEYZIEU","69330","69","84","32","9","2024",73786455
"EIFFAGE ENERGIE SYSTEMES - INFRA RHONE ALPES (EES - INFRA RA)","808464515","","43.21A","Construction","Construction","140 ROUTE DU BOIS DU MAINE 69210 SAVIGNY","69210","69","84","21","11","2024",53277294
"CAMPENON BERNARD CENTRE EST","493452015","","42.13A","Construction","Construction","55 RUE DE LA SOIE 69100 VILLEURBANNE","69100","69","84","NN","11","2024",458943135
"AER","510686751","","42.11Z","Construction","Construction","3 RUE HRANT DINK 69002 LYON","69002","69","84","11","12","2024",74334240
"INEO POSTES ET CENTRALES","419212840","","43.21A","Construction","Construction","LE PHERIPHERIQUE 16 RUE DES BROSSES 69100 VILLEURBANNE","69100","69","84","21","14","2025",109857898
"BOUYGUES E&S MAINTENANCE INDUSTRIELLE","322491127","","33.12Z","Manufacturing","Manufacturing: Furniture and Other","ZA DU CHATEAU 12 RUE HENRI BECQUEREL 69320 FEYZIN","69320","69","84","21","17","2024",23725265
"LYSALTO","821407277","","78.30Z","Administrative and support service activities","Administrative and Support","EFOR GROUP LYSALTO 19 RUE DES ROSIERISTES 69410 CHAMPAGNE-AU-MONT-D'OR","69410","69","84","NN","20","2022",21550698
"FOSELEV AGINTIS (FOSELEV AGINTIS)","477645626","","33.11Z","Manufacturing","Manufacturing: Furniture and Other","211 AVENUE FRANCIS DE PRESSENSE 69200 VENISSIEUX","69200","69","84","32","14","2024",90529292
"GERFLOR","726580152","","46.73B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","BATIMENT B   CAMPUS VERRAZZANO 1 PLACE GIOVANNI DA VERRAZZANO 69009 LYON","69009","69","84","12","11","2024",673847574
"SAMSON REGULATION","788165603","","28.14Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","1 RUE JEAN CORONA 69120 VAULX-EN-VELIN","69120","69","84","32","19","2024",79032790
"MUTUAL LOGISTICS ENF (MUTUAL LOGISTICS) (ML ENF)","411545023","","52.29B","Transportation and storage","Transportation and Storage","PARC MAIL - BATIMENT H 523 COURS DU TROISIEME MILLENAIRE 69800 SAINT-PRIEST","69800","69","84","NN","18","2024",41677962
"MAISAVIA (AUTOCARS MAISONNEUVE)","315384867","","49.39A","Transportation and storage","Transportation and Storage","521 AV DE L'EUROPE 69220 BELLEVILLE-EN-BEAUJOLAIS","69220","69","84","22","19","2024",32266339
"OLYMPIQUE LYONNAIS","385071881","","93.11Z","Arts, entertainment and recreation","Arts, Entertainment and Recreation","3EME ETAGE 10 AVENUE SIMONE VEIL 69150 DECINES-CHARPIEU","69150","69","84","21","14","2024",155631125
"RENAULT TRUCKS GRAND PARIS","448970251","","45.19Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","TER A50 2 72 99 ROUTE DE LYON 69800 SAINT-PRIEST","69800","69","84","NN","13","2024",96006000
"DIAVERUM PROVENCE (SOMEDIA)","423492792","","86.10Z","Human health and social work activities","Human Health and Social Work","190 AVENUE THIERS 69006 LYON","69006","69","84","NN","19","2024",29218815
"RESONANCE","824007520","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","416 RUE DU CHATEAU 69480 LACHASSAGNE","69480","69","84","NN","10","2024",70249613
"SERPOLLET (CHARGEMOOV)","958506289","","42.22Z","Construction","Construction","2 CHEMIN DU GENIE 69200 VENISSIEUX","69200","69","84","32","15","2024",87847706
"PANZANI (PANZANI)","961503422","","10.73Z","Manufacturing","Manufacturing: Food, Beverages and Tobacco","141 COURS GAMBETTA 69003 LYON","69003","69","84","32","26","2024",662288000
"BOEHRINGER INGELHEIM ANIMAL HEALTH FRANCE","590800215","","21.20Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","29 AVENUE TONY GARNIER 69007 LYON","69007","69","84","41","22","2024",679595898
"SOCIETE FONCIERE P.L.M.","377518436","","55.10Z","Accommodation and food service activities","Accommodation and Food Services","2 RUE GUYNEMER 69002 LYON","69002","69","84","NN","11","2024",65638956
"HOLDING TEXTILE HERMES","592028542","","14.19Z","Manufacturing","Manufacturing: Textiles, Apparel and Leather","16 CHEMIN DES MURIERS 69310 OULLINS-PIERRE-BENITE","69310","69","84","32","13","2024",288113259
"LSEHL","410545313","","71.20B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","4 AVENUE JEAN MOULIN 69200 VENISSIEUX","69200","69","84","41","9","2024",78685433
"ATLANTIC CLIMATISATION ET TRAITEMENT D'AIR COMMERCE (ACTA COMMERCE)","880065537","","46.74B","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","13 BOULEVARD MONGE 69330 MEYZIEU","69330","69","84","32","7","2024",347640567
"EGIS RAIL","968502559","","71.12B","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","168-170 AVENUE THIERS 69006 LYON","69006","69","84","32","13","2024",282702000
"AMILTONE","538949108","","62.02A","Information and communication","Information Technology and Services","LE PRESIDENT 76 BOULEVARD DU 11 NOVEMBRE 1918 69100 VILLEURBANNE","69100","69","84","31","14","2024",26060730
"FORLAM CLOTURE INDUSTRIE (FCI)","908274822","","25.93Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","23 RUE TRAMASSAC 69005 LYON","69005","69","84","21","6","2024",54451724
"STANLEY BLACK & DECKER FRANCE SAS (BD)","954507521","","46.69A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","62 CHEMIN DE LA BRUYERE 69570 DARDILLY","69570","69","84","31","16","2022",421148269
