Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"SOCIETE DE GESTION ET D'EXPLOITATION DU CENTRE MEDICO CHIRURGICAL DE TRONQUIERES (CMCT)","389806381","","86.10Z","Human health and social work activities","Human Health and Social Work","83 AVENUE CHARLES DE GAULLE 15000 AURILLAC","15000","15","84","32","2","2024",32158704
"ACTA (ARC EUROPE FRANCE)","385107180","","82.99Z","Administrative and support service activities","Administrative and Support","LES TUILERIES 69760 LIMONEST","69760","69","84","32","4","2024",92241594
"NEMERA LA VERPILLIERE","388056962","","22.29A","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","20 AVENUE DE LA GARE 38290 LA VERPILLIERE","38290","38","84","41","3","2024",205930385
"DROMEDIS","436580070","","47.11F","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Retail (except Motor Vehicles)","95 RUE CLAIR 26750 SAINT-PAUL-LES-ROMANS","26750","26","84","32","3","2023",139041758
"VIGNAL SYSTEMS","450324868","","27.40Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","19 AVENUE DU 24 AOUT 1944 69960 CORBAS","69960","69","84","32","4","2024",98921901
"LABORATOIRES GALDERMA","440139772","","21.20Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","ZI-MONTDESIR 74540 ALBY-SUR-CHERAN","74540","74","84","32","4","2024",117836108
"COMETE-J.PARIS","430046391","","28.22Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","ZONE INDUSTRIELLE ZI DU MONT REVOIS 38280 ANTHON","38280","38","84","22","3","2024",42766221
"CASINO SERVICES","428267249","","70.10Z","Professional, scientific and technical activities","Professional: Legal, Consulting, Engineering","1 COURS ANTOINE GUICHARD 42000 SAINT-ETIENNE","42000","42","84","32","3","2024",61458000
"GAMBRO INDUSTRIES","339488777","","32.50A","Manufacturing","Manufacturing: Furniture and Other","7 AVENUE LIONEL TERRAY 69330 MEYZIEU","69330","69","84","41","5","2024",133903777
"RESMED","407775170","","46.46Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","PARC TECHNOLOGIQUE DE LYON 292 ALLEE JACQUES MONOD 69800 SAINT-PRIEST","69800","69","84","32","5","2024",229466454
"CHARLES PERROUD (DALLOZ JOAILLERIE)","301166138","","32.12Z","Manufacturing","Manufacturing: Furniture and Other","LE CHARPENAY 69210 LENTILLY","69210","69","84","32","2","2023",72152842
"TRELLEBORG CLERMONT-FERRAND","391933397","","22.19Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","ZI LA COMBAUDE RUE DE CHANTEMERLE 63100 CLERMONT-FERRAND","63100","63","84","41","7","2024",153372716
"NAOS FRANCE (NAOS FRANCE)","817485725","","46.45Z","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Wholesale (except Motor Vehicles)","IMMEUBLE NEW AGE 141 COURS GAMBETTA 69003 LYON","69003","69","84","NN","3","2024",148799199
"EIFFAGE CONSTRUCTION RHONE LOIRE","799374178","","41.20B","Construction","Construction","3 RUE HRANT DINK 69002 LYON","69002","69","84","22","3","2025",61662292
"TOKAI COBEX SAVOIE","552035388","","27.90Z","Manufacturing","Manufacturing: Electronics, Electrical and Machinery","NOTRE DAME DE BRIANCON 244 RUE DES EPICEAS NOTRE-DAME DE BRIANC 73260 LA LECHERE","73260","73","84","32","7","2024",121803880
